Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.09338
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.04968
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.02646
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.0172
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.02338
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.10508
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.0874
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.00735
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.98039
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.82525
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.92728
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q4,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.95822
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.00707
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.09459
