Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00416
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00424
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00427
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00421
2024,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00426
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,3.35689
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,3.35275
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.52535
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.44142
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.45334
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.59015
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.50316
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.94925
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.94369
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.8294
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.843
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.57218
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.71332
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.75418
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.56885
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.8107
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.62493
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.39104
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.51026
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.56319
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.73635
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.45082
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.38002
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,None,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.24079
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,MF1,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.05835
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,404,MF1,KG_PER_CON_USD,2025-12-09T00:00:00,2023,2015,2.10346
