Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,67257.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,65304.0
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,64138.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,61936.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,62162.0
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,61953.0
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,61280.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,60939.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,59583.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,58020.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,56441.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,55862.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,55673.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,54725.0
